2026-02-04 18:20:21,299 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 07:10:57,009 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 07:13:40,628 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 07:13:40,633 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 07:13:40,640 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 07:19:01,603 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 07:19:01,609 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 07:19:01,615 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 07:19:21,091 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 07:19:21,101 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 07:19:21,112 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 07:21:19,085 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 07:21:19,087 | FintechPipeline | INFO | Data directory verified.
2026-02-05 07:21:19,115 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 07:21:19,138 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 07:21:19,145 | Profiler | INFO | Analysis complete. Report saved to: ../src/part1/report/data_quality_report.txt
2026-02-05 07:21:19,168 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 07:21:19,174 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 07:21:19,184 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 08:45:14,563 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:45:14,564 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:45:14,616 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:45:14,633 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:45:14,641 | Profiler | ERROR | Analysis failed: 'charmap' codec can't encode character '\u2705' in position 434: character maps to <undefined>
2026-02-05 08:45:50,127 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:45:50,140 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:45:50,145 | Profiler | ERROR | Analysis failed: 'charmap' codec can't encode character '\u2705' in position 434: character maps to <undefined>
2026-02-05 08:46:19,677 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:46:19,678 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:46:19,705 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:46:19,715 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:46:19,717 | Profiler | ERROR | Analysis failed: 'charmap' codec can't encode character '\u2705' in position 434: character maps to <undefined>
2026-02-05 08:47:37,926 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:47:37,937 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:47:37,940 | Profiler | ERROR | Analysis failed: 'charmap' codec can't encode character '\u2705' in position 434: character maps to <undefined>
2026-02-05 08:47:41,205 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:47:41,208 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:47:41,231 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:47:41,241 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:47:41,244 | Profiler | ERROR | Analysis failed: 'charmap' codec can't encode character '\u2705' in position 434: character maps to <undefined>
2026-02-05 08:48:02,786 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:48:02,788 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:48:02,820 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:48:02,831 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:48:02,836 | Profiler | INFO | Analysis complete. Report saved to: ../src/part1/report/data_quality_report.txt
2026-02-05 08:48:02,850 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 08:48:02,854 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 08:48:02,857 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 08:51:58,391 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:51:58,392 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:51:58,410 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:51:58,418 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:51:58,422 | Profiler | INFO | Analysis complete. Report saved to: ../src/part1/report/data_quality_report.txt
2026-02-05 08:51:58,444 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 08:51:58,447 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 08:51:58,449 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 08:53:39,699 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 08:53:39,701 | FintechPipeline | INFO | Data directory verified.
2026-02-05 08:53:39,722 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 08:53:39,734 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 08:53:39,737 | Profiler | INFO | Analysis complete. Report saved to: ../src/part1/report/data_quality_report.txt
2026-02-05 08:53:39,749 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 08:53:39,752 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 08:53:39,755 | PIIDetector | INFO | PII Detection Report saved to ../src/part2/report/pii_detection_report.txt
2026-02-05 08:53:39,785 | GXValidator_V1 | INFO | Building Expectations for suite: fintech_suite
2026-02-05 08:53:39,822 | GXValidator_V1 | INFO | Starting GX 1.x Validation execution...
2026-02-05 08:53:40,095 | GXValidator_V1 | INFO | GX Report saved to report/validation_results.txt
2026-02-05 08:58:09,386 | GXValidator_V1 | INFO | Building Expectations for suite: fintech_suite
2026-02-05 08:58:09,419 | GXValidator_V1 | INFO | Starting GX 1.x Validation execution...
2026-02-05 08:58:09,630 | GXValidator_V1 | INFO | GX Report saved to ../src/part3/report/validation_results.txt
2026-02-05 10:24:12,789 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 10:24:12,791 | FintechPipeline | INFO | Data directory verified.
2026-02-05 10:24:16,636 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 10:24:16,644 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 10:24:16,648 | Profiler | INFO | Analysis complete. Report saved to: ../data/reports/data_quality_report.txt
2026-02-05 10:26:47,893 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 10:26:47,894 | FintechPipeline | INFO | Data directory verified.
2026-02-05 10:26:47,959 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 10:26:47,971 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 10:26:47,976 | Profiler | INFO | Analysis complete. Report saved to: ../data/reports/data_quality_report.txt
2026-02-05 10:26:48,050 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 10:26:48,053 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 10:26:48,058 | PIIDetector | INFO | PII Detection Report saved to ../data/reports/data_quality_report.txt
2026-02-05 10:26:48,154 | GXValidator_V1 | INFO | Building Expectations for suite: fintech_suite
2026-02-05 10:26:48,184 | GXValidator_V1 | INFO | Starting GX 1.x Validation execution...
2026-02-05 10:26:48,543 | GXValidator_V1 | INFO | GX Report saved to ../data/reports/data_quality_report.txt
2026-02-05 10:30:34,100 | FintechPipeline | INFO | Pipeline Logger initialized. Ready for Data Quality Analysis.
2026-02-05 10:30:34,100 | FintechPipeline | INFO | Data directory verified.
2026-02-05 10:30:34,127 | Profiler | INFO | Loaded 10 rows from customers_raw.csv
2026-02-05 10:30:34,137 | Profiler | WARNING | Formatting issue: 2 rows have inconsistent phone formats.
2026-02-05 10:30:34,141 | Profiler | INFO | Analysis complete. Report saved to: ../data/reports/data_quality_report.txt
2026-02-05 10:30:34,161 | PIIDetector | INFO | Starting PII scanning process...
2026-02-05 10:30:34,165 | PIIDetector | INFO | Scan complete. Found 10 emails and 10 phone numbers.
2026-02-05 10:30:34,167 | PIIDetector | INFO | PII Detection Report saved to ../data/reports/pii_detection_report.txt
2026-02-05 10:30:34,205 | GXValidator_V1 | INFO | Building Expectations for suite: fintech_suite
2026-02-05 10:30:34,221 | GXValidator_V1 | INFO | Starting GX 1.x Validation execution...
2026-02-05 10:30:34,418 | GXValidator_V1 | INFO | GX Report saved to ../data/reports/validation_results.txt
